STATE,DISTRICT,MURDER,YEAR
"A & N ISLANDS","A and N ISLANDS",15,2007
"A & N ISLANDS",ANDAMAN,3,2006
"A & N ISLANDS",ANDAMAN,8,2008
"A & N ISLANDS",ANDAMAN,8,2010
"A & N ISLANDS",ANDAMAN,13,2001
"A & N ISLANDS",ANDAMAN,13,2004
"A & N ISLANDS",ANDAMAN,14,2002
"A & N ISLANDS",ANDAMAN,14,2005
"A & N ISLANDS",ANDAMAN,14,2011
"A & N ISLANDS",ANDAMAN,15,2009
"A & N ISLANDS",ANDAMAN,16,2003
"A & N ISLANDS",CAR,2,2012
"A & N ISLANDS",NICOBAR,0,2001
"A & N ISLANDS",NICOBAR,0,2005
"A & N ISLANDS",NICOBAR,0,2008
"A & N ISLANDS",NICOBAR,0,2009
"A & N ISLANDS",NICOBAR,0,2011
"A & N ISLANDS",NICOBAR,1,2006
"A & N ISLANDS",NICOBAR,1,2010
"A & N ISLANDS",NICOBAR,2,2004
"A & N ISLANDS",NICOBAR,3,2002
"A & N ISLANDS",NICOBAR,5,2003
"A & N ISLANDS",NORTH,5,2012
"A & N ISLANDS",SOUTH,8,2012
"A & N ISLANDS",TOTAL,4,2006
"A & N ISLANDS",TOTAL,8,2008
"A & N ISLANDS",TOTAL,9,2010
"A & N ISLANDS",TOTAL,13,2001
"A & N ISLANDS",TOTAL,14,2005
"A & N ISLANDS",TOTAL,14,2011
"A & N ISLANDS",TOTAL,15,2004
"A & N ISLANDS",TOTAL,15,2007
"A & N ISLANDS",TOTAL,15,2009
"A & N ISLANDS",TOTAL,15,2012
"A & N ISLANDS",TOTAL,17,2002
"A & N ISLANDS",TOTAL,21,2003
"ANDHRA PRADESH",ADILABAD,73,2008
"ANDHRA PRADESH",ADILABAD,81,2012
"ANDHRA PRADESH",ADILABAD,85,2009
"ANDHRA PRADESH",ADILABAD,98,2010
"ANDHRA PRADESH",ADILABAD,99,2006
"ANDHRA PRADESH",ADILABAD,100,2002
"ANDHRA PRADESH",ADILABAD,101,2001
"ANDHRA PRADESH",ADILABAD,107,2003
"ANDHRA PRADESH",ADILABAD,108,2005
"ANDHRA PRADESH",ADILABAD,109,2011
"ANDHRA PRADESH",ADILABAD,112,2007
"ANDHRA PRADESH",ADILABAD,113,2004
"ANDHRA PRADESH",ANANTAPUR,137,2010
"ANDHRA PRADESH",ANANTAPUR,140,2009
"ANDHRA PRADESH",ANANTAPUR,149,2007
"ANDHRA PRADESH",ANANTAPUR,151,2001
"ANDHRA PRADESH",ANANTAPUR,152,2004
"ANDHRA PRADESH",ANANTAPUR,154,2008
"ANDHRA PRADESH",ANANTAPUR,166,2002
"ANDHRA PRADESH",ANANTAPUR,171,2011
"ANDHRA PRADESH",ANANTAPUR,172,2005
"ANDHRA PRADESH",ANANTAPUR,173,2003
"ANDHRA PRADESH",ANANTAPUR,173,2012
"ANDHRA PRADESH",ANANTAPUR,184,2006
"ANDHRA PRADESH",CHITTOOR,85,2009
"ANDHRA PRADESH",CHITTOOR,91,2011
"ANDHRA PRADESH",CHITTOOR,91,2012
"ANDHRA PRADESH",CHITTOOR,100,2010
"ANDHRA PRADESH",CHITTOOR,101,2001
