max(MURDER),STATE,DISTRICT,Year
101,"ANDHRA PRADESH",ADILABAD,2001
151,"ANDHRA PRADESH",ANANTAPUR,2001
101,"ANDHRA PRADESH",CHITTOOR,2001
80,"ANDHRA PRADESH",CUDDAPAH,2001
82,"ANDHRA PRADESH","EAST GODAVARI",2001
3,"ANDHRA PRADESH","GUNTAKAL RLY.",2001
182,"ANDHRA PRADESH",GUNTUR,2001
111,"ANDHRA PRADESH","HYDERABAD CITY",2001
162,"ANDHRA PRADESH",KARIMNAGAR,2001
93,"ANDHRA PRADESH",KHAMMAM,2001
65,"ANDHRA PRADESH",KRISHNA,2001
133,"ANDHRA PRADESH",KURNOOL,2001
157,"ANDHRA PRADESH",MAHABOOBNAGAR,2001
101,"ANDHRA PRADESH",MEDAK,2001
122,"ANDHRA PRADESH",NALGONDA,2001
89,"ANDHRA PRADESH",NELLORE,2001
106,"ANDHRA PRADESH",NIZAMABAD,2001
102,"ANDHRA PRADESH",PRAKASHAM,2001
214,"ANDHRA PRADESH","RANGA REDDY",2001
6,"ANDHRA PRADESH","SECUNDERABAD RLY.",2001
38,"ANDHRA PRADESH",SRIKAKULAM,2001
53,"ANDHRA PRADESH",VIJAYAWADA,2001
2,"ANDHRA PRADESH","VIJAYAWADA RLY.",2001
58,"ANDHRA PRADESH","VISAKHA RURAL",2001
22,"ANDHRA PRADESH",VISAKHAPATNAM,2001
33,"ANDHRA PRADESH",VIZIANAGARAM,2001
158,"ANDHRA PRADESH",WARANGAL,2001
77,"ANDHRA PRADESH","WEST GODAVARI",2001
2602,"ANDHRA PRADESH",TOTAL,2001
11,"ARUNACHAL PRADESH",CHANGLANG,2001
3,"ARUNACHAL PRADESH","DIBANG VALLEY",2001
3,"ARUNACHAL PRADESH","KAMENG EAST",2001
4,"ARUNACHAL PRADESH","KAMENG WEST",2001
16,"ARUNACHAL PRADESH",LOHIT,2001
11,"ARUNACHAL PRADESH","PAPUM PARE",2001
7,"ARUNACHAL PRADESH","SIANG EAST",2001
1,"ARUNACHAL PRADESH","SIANG UPPER",2001
5,"ARUNACHAL PRADESH","SIANG WEST",2001
8,"ARUNACHAL PRADESH","SUBANSIRI LOWER",2001
4,"ARUNACHAL PRADESH","SUBANSIRI UPPER",2001
2,"ARUNACHAL PRADESH",TAWANG,2001
8,"ARUNACHAL PRADESH",TIRAP,2001
83,"ARUNACHAL PRADESH",TOTAL,2001
64,ASSAM,BARPETA,2001
45,ASSAM,BONGAIGAON,2001
0,ASSAM,C.I.D.,2001
52,ASSAM,CACHAR,2001
61,ASSAM,DARRANG,2001
15,ASSAM,DHEMAJI,2001
65,ASSAM,DHUBRI,2001
110,ASSAM,DIBRUGARH,2001
13,ASSAM,G.R.P.,2001
28,ASSAM,GOALPARA,2001
53,ASSAM,GOLAGHAT,2001
71,ASSAM,"GUWAHATI CITY",2001
18,ASSAM,HAILAKANDI,2001
40,ASSAM,JORHAT,2001
37,ASSAM,KAMRUP,2001
65,ASSAM,"KARBI ANGLONG",2001
32,ASSAM,KARIMGANJ,2001
87,ASSAM,KOKRAJHAR,2001
26,ASSAM,LAKHIMPUR,2001
20,ASSAM,MORIGAON,2001
17,ASSAM,N.C.HILLS,2001
95,ASSAM,NAGAON,2001
79,ASSAM,NALBARI,2001
11,ASSAM,R.P.O.,2001
59,ASSAM,SIBSAGAR,2001
86,ASSAM,SONITPUR,2001
107,ASSAM,TINSUKIA,2001
1356,ASSAM,TOTAL,2001
47,BIHAR,ARARIA,2001
37,BIHAR,ARWAL,2001
74,BIHAR,AURANGABAD,2001
34,BIHAR,BAGAHA,2001
93,BIHAR,BANKA,2001
124,BIHAR,BEGUSARAI,2001
66,BIHAR,BETTIAH,2001
41,BIHAR,BHABHUA,2001
128,BIHAR,BHAGALPUR,2001
135,BIHAR,BHOJPUR,2001
56,BIHAR,BUXAR,2001
53,BIHAR,DARBHANGA,2001
200,BIHAR,GAYA,2001
107,BIHAR,GOPALGANJ,2001
7,BIHAR,"JAMALPUR RLY.",2001
67,BIHAR,JAMUI,2001
73,BIHAR,JEHANABAD,2001
60,BIHAR,KATIHAR,2001
7,BIHAR,"KATIHAR RLY.",2001
72,BIHAR,KHAGARIA,2001
25,BIHAR,KISHANGANJ,2001
61,BIHAR,LAKHISARAI,2001
56,BIHAR,MADHEPURA,2001
35,BIHAR,MADHUBANI,2001
114,BIHAR,MOTIHARI,2001
51,BIHAR,MUNGER,2001
153,BIHAR,MUZAFFARPUR,2001
13,BIHAR,"MUZAFFARPUR RLY.",2001
208,BIHAR,NALANDA,2001
36,BIHAR,NAUGACHIA,2001
77,BIHAR,NAWADAH,2001
434,BIHAR,PATNA,2001
24,BIHAR,"PATNA RLY.",2001
104,BIHAR,PURNEA,2001
127,BIHAR,ROHTAS,2001
36,BIHAR,SAHARSA,2001
107,BIHAR,SAMASTIPUR,2001
137,BIHAR,SARAN,2001
28,BIHAR,SHEIKHPURA,2001
18,BIHAR,SHEOHAR,2001
51,BIHAR,SITAMARHI,2001
116,BIHAR,SIWAN,2001
41,BIHAR,SUPAUL,2001
110,BIHAR,VAISHALI,2001
3643,BIHAR,TOTAL,2001
13,CHHATTISGARH,BALRAMPUR,2001
99,CHHATTISGARH,BILASPUR,2001
9,CHHATTISGARH,BIZAPUR,2001
83,CHHATTISGARH,DANTEWARA,2001
14,CHHATTISGARH,DHAMTARI,2001
76,CHHATTISGARH,DURG,2001
2,CHHATTISGARH,"GRP RAIPUR",2001
80,CHHATTISGARH,JAGDALPUR,2001
48,CHHATTISGARH,JANJGIR,2001
37,CHHATTISGARH,JASHPUR,2001
31,CHHATTISGARH,KANKER,2001
19,CHHATTISGARH,KAWARDHA,2001
33,CHHATTISGARH,KORBA,2001
35,CHHATTISGARH,KORIYA,2001
18,CHHATTISGARH,MAHASAMUND,2001
50,CHHATTISGARH,RAIGARH,2001
92,CHHATTISGARH,RAIPUR,2001
36,CHHATTISGARH,RAJNANDGAON,2001
105,CHHATTISGARH,SARGUJA,2001
880,CHHATTISGARH,TOTAL,2001
22,GOA,"NORTH GOA",2001
14,GOA,"SOUTH GOA",2001
36,GOA,TOTAL,2001
90,GUJARAT,"AHMEDABAD COMMR.",2001
26,GUJARAT,"AHMEDABAD RURAL",2001
6,GUJARAT,AHWA-DANG,2001
41,GUJARAT,AMRELI,2001
28,GUJARAT,ANAND,2001
37,GUJARAT,BHARUCH,2001
64,GUJARAT,BHAVNAGAR,2001
36,GUJARAT,DAHOD,2001
25,GUJARAT,GANDHINAGAR,2001
55,GUJARAT,HIMATNAGAR,2001
48,GUJARAT,JAMNAGAR,2001
56,GUJARAT,JUNAGADH,2001
42,GUJARAT,"KHEDA NORTH",2001
34,GUJARAT,KUTCH,2001
28,GUJARAT,MEHSANA,2001
16,GUJARAT,NARMADA,2001
26,GUJARAT,NAVSARI,2001
52,GUJARAT,PALANPUR,2001
56,GUJARAT,PANCHMAHAL,2001
24,GUJARAT,PATAN,2001
15,GUJARAT,PORBANDAR,2001
29,GUJARAT,"RAJKOT COMMR.",2001
30,GUJARAT,"RAJKOT RURAL",2001
98,GUJARAT,"SURAT COMMR.",2001
62,GUJARAT,"SURAT RURAL",2001
38,GUJARAT,SURENDRANAGAR,2001
34,GUJARAT,"VADODARA COMMR.",2001
71,GUJARAT,"VADODARA RURAL",2001
44,GUJARAT,VALSAD,2001
15,GUJARAT,W.RLY,2001
1226,GUJARAT,TOTAL,2001
26,HARYANA,AMBALA,2001
40,HARYANA,BHIWANI,2001
68,HARYANA,FARIDABAD,2001
18,HARYANA,FATEHABAD,2001
24,HARYANA,GRP,2001
69,HARYANA,GURGAON,2001
45,HARYANA,HISSAR,2001
48,HARYANA,JHAJJAR,2001
37,HARYANA,JIND,2001
33,HARYANA,KAITHAL,2001
42,HARYANA,KARNAL,2001
20,HARYANA,KURUKSHETRA,2001
26,HARYANA,MAHENDRAGARH,2001
12,HARYANA,PANCHKULA,2001
43,HARYANA,PANIPAT,2001
21,HARYANA,REWARI,2001
57,HARYANA,ROHTAK,2001
37,HARYANA,SIRSA,2001
73,HARYANA,SONIPAT,2001
42,HARYANA,YAMUNANAGAR,2001
781,HARYANA,TOTAL,2001
8,"HIMACHAL PRADESH",BILASPUR,2001
13,"HIMACHAL PRADESH",CHAMBA,2001
1,"HIMACHAL PRADESH",G.R.P.,2001
2,"HIMACHAL PRADESH",HAMIRPUR,2001
24,"HIMACHAL PRADESH",KANGRA,2001
5,"HIMACHAL PRADESH",KINNAUR,2001
13,"HIMACHAL PRADESH",KULLU,2001
1,"HIMACHAL PRADESH",LAHAUL-SPITI,2001
18,"HIMACHAL PRADESH",MANDI,2001
14,"HIMACHAL PRADESH",SHIMLA,2001
3,"HIMACHAL PRADESH",SIRMAUR,2001
11,"HIMACHAL PRADESH",SOLAN,2001
6,"HIMACHAL PRADESH",UNA,2001
119,"HIMACHAL PRADESH",TOTAL,2001
74,"JAMMU & KASHMIR",ANANTNAG,2001
25,"JAMMU & KASHMIR",AWANTIPORA,2001
144,"JAMMU & KASHMIR",BARAMULLA,2001
6,"JAMMU & KASHMIR",BORDER,2001
78,"JAMMU & KASHMIR",BUDGAM,2001
0,"JAMMU & KASHMIR","CRIME JAMMU",2001
0,"JAMMU & KASHMIR","CRIME SRINAGAR",2001
104,"JAMMU & KASHMIR",DODA,2001
24,"JAMMU & KASHMIR",GANDERBAL,2001
27,"JAMMU & KASHMIR",JAMMU,2001
0,"JAMMU & KASHMIR",KARGIL,2001
16,"JAMMU & KASHMIR",KATHUA,2001
39,"JAMMU & KASHMIR",KULGAM,2001
141,"JAMMU & KASHMIR",KUPWARA,2001
3,"JAMMU & KASHMIR",LEH,2001
100,"JAMMU & KASHMIR",POONCH,2001
46,"JAMMU & KASHMIR",PULWAMA,2001
1,"JAMMU & KASHMIR",RAILWAYS,2001
76,"JAMMU & KASHMIR",RAJOURI,2001
51,"JAMMU & KASHMIR",RAMBAN,2001
36,"JAMMU & KASHMIR",REASI,2001
63,"JAMMU & KASHMIR",SRINAGAR,2001
21,"JAMMU & KASHMIR",UDHAMPUR,2001
1075,"JAMMU & KASHMIR",TOTAL,2001
70,JHARKHAND,BOKARO,2001
109,JHARKHAND,CHAIBASA,2001
40,JHARKHAND,CHATRA,2001
47,JHARKHAND,DEOGHAR,2001
97,JHARKHAND,DHANBAD,2001
11,JHARKHAND,"DHANBAD RLY.",2001
63,JHARKHAND,DUMKA,2001
32,JHARKHAND,GARHWA,2001
63,JHARKHAND,GIRIDIH,2001
61,JHARKHAND,GODDA,2001
136,JHARKHAND,GUMLA,2001
76,JHARKHAND,HAZARIBAGH,2001
81,JHARKHAND,JAMSHEDPUR,2001
4,JHARKHAND,"JAMSHEDPUR RLY.",2001
22,JHARKHAND,JAMTARA,2001
21,JHARKHAND,KODERMA,2001
54,JHARKHAND,LATEHAR,2001
33,JHARKHAND,LOHARDAGGA,2001
31,JHARKHAND,PAKUR,2001
73,JHARKHAND,PALAMU,2001
243,JHARKHAND,RANCHI,2001
47,JHARKHAND,SAHEBGANJ,2001
44,JHARKHAND,SARAIKELA,2001
49,JHARKHAND,SIMDEGA,2001
1507,JHARKHAND,TOTAL,2001
59,KARNATAKA,BAGALKOT,2001
221,KARNATAKA,"BANGALORE COMMR.",2001
137,KARNATAKA,"BANGALORE RURAL",2001
120,KARNATAKA,BELGAUM,2001
58,KARNATAKA,BELLARY,2001
48,KARNATAKA,BIDAR,2001
51,KARNATAKA,BIJAPUR,2001
19,KARNATAKA,CHAMARAJNAGAR,2001
41,KARNATAKA,CHICKMAGALUR,2001
31,KARNATAKA,CHITRADURGA,2001
